RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PRIMARY_POSITION,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
823828-547973,823828,2026-08-24,BOS,MIA,A,547973,Aroldis Chapman,RELIEF_OR_BULK,0.0,15.0,3.0,3.0,15.0,35.0,3.0,7.0,True,False,18,4,3,0,0,1,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,9,Bot,80,83
823828-624133,823828,2026-08-24,BOS,MIA,A,624133,Ranger Suarez,STARTER,5.0,93.0,22.0,16.0,0.0,0.0,0.0,0.0,False,False,93,24,15,1,1,4,4,4,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,STARTER,MLB,False,STARTER/OPENER/BULK,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,1,Bot,3,42
823828-645261,823828,2026-08-24,MIA,BOS,H,645261,Sandy Alcantara,STARTER,4.0,97.0,26.0,18.0,0.0,0.0,0.0,0.0,False,False,102,29,21,1,1,6,2,6,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,STARTER,MLB,False,STARTER/OPENER/BULK,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,1,Top,0,55
823828-664126,823828,2026-08-24,MIA,BOS,H,664126,Pete Fairbanks,RELIEF_OR_BULK,0.0,20.0,5.0,3.0,20.0,45.0,5.0,10.0,True,False,5,1,0,1,1,0,1,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,9,Top,73,73
823828-669062,823828,2026-08-24,BOS,MIA,A,669062,Erik Miller,RELIEF_OR_BULK,2.0,13.0,3.0,3.0,0.0,13.0,0.0,3.0,False,False,16,5,3,0,0,2,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,8,Bot,68,72
823828-676604,823828,2026-08-24,MIA,BOS,H,676604,Tyler Zuber,RELIEF_OR_BULK,1.0,4.0,2.0,2.0,4.0,27.0,2.0,7.0,False,False,12,3,1,1,1,2,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,9,Top,74,76
823828-678394,823828,2026-08-24,BOS,MIA,A,678394,Brayan Bello,RELIEF_OR_BULK,6.0,76.0,19.0,14.0,0.0,0.0,0.0,0.0,False,False,42,10,6,1,1,2,2,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,6,Bot,47,62
823828-694795,823828,2026-08-24,MIA,BOS,H,694795,Josh Ekness,RELIEF_OR_BULK,1.0,21.0,4.0,4.0,21.0,42.0,4.0,8.0,False,False,16,5,3,1,1,1,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,8,Top,63,67
823828-806188,823828,2026-08-24,MIA,BOS,H,806188,Cade Gibson,RELIEF_OR_BULK,2.0,12.0,4.0,5.0,0.0,12.0,0.0,4.0,False,False,15,3,2,0,0,0,1,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/823828/feed/live,True,9,Top,77,79
824235-641329,824235,2026-08-24,TB,DET,A,641329,Bryan Baker,RELIEF_OR_BULK,0.0,12.0,5.0,3.0,17.0,17.0,6.0,6.0,True,True,16,5,3,0,0,1,0,2,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,QA_VALIDATED_CANONICAL_V135,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-24.parquet,https://statsapi.mlb.com/api/v1.1/game/824235/feed/live,True,9,Bot,67,71
