RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
823828-547973,823828,2026-08-24,BOS,MIA,A,547973,Aroldis Chapman,RELIEF_OR_BULK,0.0,15.0,3.0,3.0,15.0,35.0,3.0,7.0,True,False,18,4,3,0,0,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-664126,823828,2026-08-24,MIA,BOS,H,664126,Pete Fairbanks,RELIEF_OR_BULK,0.0,20.0,5.0,3.0,20.0,45.0,5.0,10.0,True,False,5,1,0,1,1,0,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-669062,823828,2026-08-24,BOS,MIA,A,669062,Erik Miller,RELIEF_OR_BULK,2.0,13.0,3.0,3.0,0.0,13.0,0.0,3.0,False,False,16,5,3,0,0,2,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-676604,823828,2026-08-24,MIA,BOS,H,676604,Tyler Zuber,RELIEF_OR_BULK,1.0,4.0,2.0,2.0,4.0,27.0,2.0,7.0,False,False,12,3,1,1,1,2,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-678394,823828,2026-08-24,BOS,MIA,A,678394,Brayan Bello,RELIEF_OR_BULK,6.0,76.0,19.0,14.0,0.0,0.0,0.0,0.0,False,False,42,10,6,1,1,2,2,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-694795,823828,2026-08-24,MIA,BOS,H,694795,Josh Ekness,RELIEF_OR_BULK,1.0,21.0,4.0,4.0,21.0,42.0,4.0,8.0,False,False,16,5,3,1,1,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
823828-806188,823828,2026-08-24,MIA,BOS,H,806188,Cade Gibson,RELIEF_OR_BULK,2.0,12.0,4.0,5.0,0.0,12.0,0.0,4.0,False,False,15,3,2,0,0,0,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
824235-641329,824235,2026-08-24,TB,DET,A,641329,Bryan Baker,RELIEF_OR_BULK,0.0,12.0,5.0,3.0,17.0,17.0,6.0,6.0,True,True,16,5,3,0,0,1,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
824235-655889,824235,2026-08-24,TB,DET,A,655889,Manuel Rodríguez,RELIEF_OR_BULK,,,,,,,,,,,23,5,3,0,0,1,1,3,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,,,
824235-663432,824235,2026-08-24,DET,TB,H,663432,Tanner Rainey,RELIEF_OR_BULK,1.0,14.0,3.0,3.0,14.0,14.0,3.0,3.0,False,False,31,7,6,0,0,0,2,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v135_sheet01_0824.csv,QA_VALIDATED_PBP_V135,RELIEF_OR_BULK,MLB,False
