RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PRIMARY_POSITION,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
824446-641329,824446,2026-04-27,TB,CLE,A,641329,Bryan Baker,RELIEF_OR_BULK,0.0,16.0,3.0,3.0,16.0,34.0,3.0,6.0,True,False,23,5,3,0,0,2,0,2,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,9,Bot,66,70
824446-670036,824446,2026-04-27,CLE,TB,H,670036,Matt Festa,RELIEF_OR_BULK,1.0,17.0,5.0,3.0,17.0,17.0,5.0,5.0,False,False,3,1,1,0,0,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,6,Top,40,40
824446-670059,824446,2026-04-27,CLE,TB,H,670059,Colin Holderman,RELIEF_OR_BULK,0.0,12.0,4.0,4.0,12.0,12.0,4.0,4.0,True,False,23,6,6,0,0,0,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,8,Top,56,65
824446-681870,824446,2026-04-27,CLE,TB,H,681870,Erik Sabrowski,RELIEF_OR_BULK,2.0,13.0,3.0,3.0,0.0,13.0,0.0,3.0,False,False,20,4,2,0,0,1,1,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,7,Top,44,47
824446-683769,824446,2026-04-27,CLE,TB,H,683769,Hunter Gaddis,RELIEF_OR_BULK,2.0,8.0,3.0,3.0,0.0,8.0,0.0,3.0,False,False,13,4,1,2,2,3,0,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,7,Top,48,55
824446-693855,824446,2026-04-27,TB,CLE,A,693855,Ian Seymour,RELIEF_OR_BULK,5.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,False,False,18,4,3,0,0,0,1,2,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/824446/feed/live,True,8,Bot,59,62
823395-642397,823395,2026-04-27,PIT,STL,H,642397,Gregory Soto,RELIEF_OR_BULK,1.0,14.0,3.0,3.0,14.0,14.0,3.0,3.0,False,False,18,3,3,0,0,1,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/823395/feed/live,True,8,Top,50,52
823395-642701,823395,2026-04-27,PIT,STL,H,642701,Dennis Santana,RELIEF_OR_BULK,1.0,17.0,5.0,3.0,17.0,17.0,5.0,5.0,False,False,27,8,2,4,4,4,2,0,2,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/823395/feed/live,True,9,Top,56,63
823395-664875,823395,2026-04-27,PIT,STL,H,664875,Justin Lawrence,RELIEF_OR_BULK,0.0,9.0,3.0,3.0,9.0,9.0,3.0,3.0,True,False,9,3,3,0,0,0,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/823395/feed/live,True,2,Top,8,10
823395-666277,823395,2026-04-27,STL,PIT,A,666277,George Soriano,RELIEF_OR_BULK,1.0,15.0,5.0,3.0,15.0,26.0,5.0,7.0,False,False,21,4,3,0,0,1,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,QA_VALIDATED_CANONICAL_V19,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-27.parquet,https://statsapi.mlb.com/api/v1.1/game/823395/feed/live,True,9,Bot,65,68
